iso_code,Contries,1/2020,2/2020,3/2020,4/2020,5/2020,6/2020,7/2020,8/2020,9/2020,10/2020,11/2020,12/2020,1/2021,2/2021,3/2021,4/2021,5/2021,6/2021,7/2021,8/2021,9/2021,9/2021,10/2021,11/2021,12/2021,1/2022,2/2022,3/2022,4/2022,5/2022,6/2022,7/2022,8/2022,9/2022,10/2022,11/2022,12/2022,1/2023,2/2023,3/2023,4/2023,5/2023,6/2023,7/2023,8/2023,9/2023,10/2023,11/2023,12/2023
AFG,Afghanistan,0,0,91,1329,13922,27053,16485,3792,2177,2464,6263,9815,6071,2225,959,2996,13601,52378,64647,19455,12821,4441,2098,1846,1627,4055,14835,11762,4301,2033,3149,4547,8989,11237,7187,5397,3704,1875,1471,1388,5370,9705,6400,1698,1493,1580,1947,2419,2027
ALB,Albania,,0,186,678,683,1419,3358,5917,6894,8589,21179,32170,29487,42851,40134,18969,4490,929,456,10594,16470,33099,29047,24564,19227,52526,54628,10146,2655,1904,2945,32695,41084,15425,2049,905,770,812,576,529,439,98,0,0,0,0,0,318,285
DZA,Algeria,,0,454,3237,7442,7410,16714,25070,16221,9559,28272,36476,15484,11047,7898,6632,10078,14213,30187,49375,45449,22218,6536,5490,9297,36658,43036,8023,534,153,236,1449,3929,2502,304,354,347,223,185,174,209,222,82,11,19,43,63,72,44
AND,Andorra,,0,341,737,142,101,45,269,880,2823,3914,2487,2597,2263,1603,2005,1196,476,740,950,782,331,433,1421,6112,16116,11591,3114,2579,2566,2057,2284,1356,354,422,549,1098,393,94,67,76,76,0,0,0,0,0,0,0
AGO,Angola,,0,0,25,65,216,828,2068,3100,6091,8841,4814,3621,2626,1969,4437,10849,10051,6142,7198,7768,11203,14026,3894,6488,32660,9926,755,516,567,1844,2636,1039,495,467,1402,1122,238,115,111,96,475,343,47,16,29,24,152,733
AIA,Anguilla,,0,2,3,0,0,0,0,0,0,1,9,7,3,6,40,80,10,4,83,167,250,580,790,607,801,751,249,176,486,623,238,329,238,15,0,38,0,0,0,0,0,0,0,0,0,0,0,0
ATG,Antigua and Barbuda,,0,7,24,4,40,57,20,6,27,30,25,71,557,845,414,77,26,17,372,491,1574,1887,403,151,2399,2593,750,116,608,962,281,263,302,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARG,Argentina,,0,1282,5442,19416,64795,159727,333264,476359,612041,518849,341443,453961,407848,355246,751014,1225459,1237738,861335,508945,432366,221434,65936,64994,192048,2965097,2429714,390621,136254,189870,265853,246854,252054,105886,21112,13653,170907,270160,39446,4628,0,420,2478,4515,7845,14793,8954,4224,2859
ARM,Armenia,,0,424,1745,8269,21332,24187,11781,8990,33054,78317,51410,18701,9927,22229,38609,19819,5527,5618,14948,17595,26388,59476,65575,24048,23895,73838,32501,1484,283,212,2359,8857,14156,7884,1966,800,376,811,2198,1773,496,120,60,97,357,1267,1104,361
ABW,Aruba,,0,46,100,9,0,16,1743,3493,2097,641,664,1847,1921,1939,2460,1061,388,274,3157,3521,3223,891,676,1216,16187,8401,643,762,2475,5214,3779,1750,684,364,357,373,300,184,106,32,66,20,24,0,0,0,0,0
AUS,Australia,,22,3794,6633,896,712,6695,15994,6318,1292,641,644,786,375,410,629,693,912,3340,24001,34220,66375,94633,76593,182957,2087782,1771799,1643152,2306063,2074101,1682307,1533461,1596506,680810,262236,336363,635427,497798,170683,135545,184318,226706,222358,83499,40742,36216,37556,55457,72033
AUT,Austria,,0,4946,11905,2755,1702,3489,8163,20484,50302,219934,197838,91377,74550,109442,132573,69723,20485,9810,32961,41757,72501,117420,373736,384406,584050,1321261,1686344,1267886,269054,205105,459729,379537,252493,450788,306903,215969,163616,173047,223405,93710,31224,11922,2397,0,0,0,0,0
AZE,Azerbaijan,,0,147,1583,3998,13090,22452,12996,6411,11190,68294,149426,62780,10572,23463,75100,50144,9740,5410,76888,101379,129209,74065,92974,69469,47978,163581,100515,3518,541,522,5534,17864,19192,5606,2089,2397,3078,1689,1281,2448,1511,356,126,121,788,1517,500,166
BHS,Bahamas,,0,9,72,59,12,213,1949,2960,3876,2541,841,524,565,764,1434,2343,1674,2070,4917,5300,5168,2956,1125,1117,9590,5999,574,292,1280,2119,1430,807,455,240,158,72,0,0,0,593,593,0,0,0,0,0,0,0
BHR,Bahrain,,0,476,2526,9753,20493,24364,18921,25146,25204,11358,8254,13661,26461,34105,44209,80297,77090,18831,5134,5120,4796,3172,1955,2477,83985,218512,136990,40659,24553,44506,64603,32379,15874,15787,12524,5105,0,0,0,0,0,0,0,0,0,0,0,0
BGD,Bangladesh,,0,48,5413,46532,123130,157684,127027,101548,73658,84141,88910,44606,23763,57652,194992,114074,114893,353645,472348,410467,197656,39126,13425,12240,206007,348980,89750,5290,1342,12374,51142,21463,14355,20265,6804,1196,726,541,392,310,893,3914,3940,2125,892,406,271,264
BRB,Barbados,,0,24,77,25,15,16,68,52,49,65,105,1206,2186,1927,603,301,135,301,653,942,2946,11706,14540,8113,16111,23898,11146,10947,18771,10781,9522,14847,8290,1615,1807,2091,1213,740,364,668,606,1219,1113,724,539,98,26,26
BLR,Belarus,,0,94,9584,39432,38122,20134,6759,8551,18504,50301,79639,88236,75591,60672,57242,56774,47056,40919,51015,55554,75276,96966,94375,80586,65332,205619,189416,48094,13251,536,11170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEL,Belgium,,1,12030,47184,25980,7811,6870,22091,40463,249262,409423,135943,97751,103329,142591,186734,136352,65718,41307,84347,88959,97232,168174,472037,625217,1186337,1287633,473785,439854,212965,123465,248299,166899,88693,112315,62311,54372,39730,38280,69499,43026,14284,4837,1656,4935,13303,15068,11454,12465
