Country Name,Country_Code,Indicator Name,Indicator Code,,population_2019,population_2020,population_2021,population_2022,population_2023
Aruba,ABW,"Population, total",SP.POP.TOTL,,106442,106585,106537,106445,123702
Africa Eastern and Southern,AFE,"Population, total",SP.POP.TOTL,,667242986,685112979,702977106,720859132,722859132
Afghanistan,AFG,"Population, total",SP.POP.TOTL,,37769499,38972230,40099462,41128771,39232003
Africa Western and Central,AFW,"Population, total",SP.POP.TOTL,,454306063,466189102,478185907,490330870,500330871
Angola,AGO,"Population, total",SP.POP.TOTL,,32353588,33428486,34503774,35588987,35981281
Albania,ALB,"Population, total",SP.POP.TOTL,,2854191,2837849,2811666,2777689,3101621
Andorra,AND,"Population, total",SP.POP.TOTL,,76343,77700,79034,79824,85468
Arab World,ARB,"Population, total",SP.POP.TOTL,,441467739,449228296,456520777,464684914,473684914
United Arab Emirates,ARE,"Population, total",SP.POP.TOTL,,9211657,9287289,9365145,9441129,9973449
Argentina,ARG,"Population, total",SP.POP.TOTL,,44938712,45376763,45808747,46234830,46621847
Armenia,ARM,"Population, total",SP.POP.TOTL,,2820602,2805608,2790974,2780469,2989091
American Samoa,ASM,"Population, total",SP.POP.TOTL,,47321,46189,45035,44273,44620
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,,92117,92664,93219,93763,101489
Australia,AUS,"Population, total",SP.POP.TOTL,,25334826,25649248,25685412,26005540,26461166
Austria,AUT,"Population, total",SP.POP.TOTL,,8879920,8916864,8955797,9041851,8940860
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,,10024283,10093121,10137750,10141756,10420515
Burundi,BDI,"Population, total",SP.POP.TOTL,,11874838,12220227,12551213,12889576,13162952
Belgium,BEL,"Population, total",SP.POP.TOTL,,11488980,11538604,11586195,11685814,11913633
Benin,BEN,"Population, total",SP.POP.TOTL,,12290444,12643123,12996895,13352864,14219908
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,,20951639,21522626,22100683,22673762,22489126
Bangladesh,BGD,"Population, total",SP.POP.TOTL,,165516222,167420951,169356251,171186372,167184465
Bulgaria,BGR,"Population, total",SP.POP.TOTL,,6975761,6934015,6877743,6465097,6827736
Bahrain,BHR,"Population, total",SP.POP.TOTL,,1494188,1477469,1463265,1472233,1553886
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,,404557,406471,407906,409984,458508
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,,3360711,3318407,3270943,3233526,3807764
Belarus,BLR,"Population, total",SP.POP.TOTL,,9419758,9379952,9302585,9228071,9383853
