Country,Case_2020,Case_2021,Case_2022,Case_2023,Code
Afghanistan,51848,157902,207322,229990,AFG
Albania,55380,207221,332670,334314,ALB
Algeria,97857,216376,271194,272010,DZA
American Samoa,,11,8266,8359,DZA
Andorra,7806,21730,47686,48015,AND
Angola,17149,71142,105070,106303,AGO
Anguilla,12,1646,3904,3904,AIA
Antigua and Barbuda,155,4229,9106,9106,ATG
Argentina,1629908,5559916,9891139,10074753,ARG
Armenia,157834,344481,445583,451353,ARM
Aruba,5228,17165,43752,44224,ABW
Australia,28296,366607,10694041,11698780,AUS
Austria,344732,1252088,5678345,6081287,AUT
Azerbaijan,211764,614119,825893,834259,AZE
Bahamas,7788,23630,37491,38084,BHS
Bahrain,91518,279518,696614,696614,BHR
Bangladesh,509148,1583253,2037024,2046207,BGD
Barbados,347,27629,105515,110141,BRB
Belarus,184922,692601,994037,994037,BLR
Belgium,638760,2048110,4679472,4840923,BEL
Belize,10490,31503,69675,71373,BLZ
Benin,3205,24935,27985,28036,BEN
Bermuda,561,6064,18557,18860,BMU
Bhutan,597,2660,62531,62697,BTN
Bolivia,153590,575247,1146741,1210892,BOL
Bosnia and Herzegovina,109330,287716,400960,403477,BIH
Botswana,13890,212482,328031,330413,BWA
Brazil,7448560,22230737,36124337,37519960,BRA
British Virgin Islands,93,3071,7305,7392,VGB
Brunei,152,15447,268615,326275,BRN
Bulgaria,197384,733882,1280617,1316751,BGR
Burkina Faso,6344,17040,22006,22107,BFA
Burundi,809,26999,52051,54419,BDI
Cambodia,364,120449,138495,138978,KHM
Cameroon,26277,108676,123993,125137,CMR
Canada,539241,1961723,4476385,4748951,CAN
Cape Verde,11698,39013,63190,64474,CMR
Cayman Islands,318,8386,31472,31472,CAN
Central African Republic,5814,12268,15360,15440,CAF
Chad,1986,5701,7649,7698,TCD
Chile,598394,1799125,5006159,5327046,CHL
China,96324,130858,62445650,99321898,CHN
Colombia,1574707,5118254,6338339,6384979,COL
Comoros,661,5603,8982,9109,COM
Congo,6389,20089,25063,25213,COG
Cook Islands,,,6625,7174,COK
Costa Rica,164062,569523,1161687,1230653,CRI
Cote d'Ivoire,22081,63847,87933,88380,CIV
Croatia,204312,693102,1261766,1279927,HRV
Cuba,11038,964607,1111827,1115043,CUB
Curacao,4051,18299,45707,45883,CUW
Cyprus,19392,149848,628509,660854,CYP
Czechia,675062,2486451,4577526,4729698,CZE
Democratic Republic of Congo,16837,75044,95070,99333,CZE
Denmark,151167,697563,3381851,3423176,DNK
Djibouti,5805,13568,15690,15690,DJI
Dominica,96,6559,15760,16038,DMA
Dominican Republic,165940,413887,658587,661180,DOM
Ecuador,209274,541368,1040463,1066409,ECU
Egypt,131315,380520,515514,516023,EGY
El Salvador,44619,121741,201785,201833,SLV
Equatorial Guinea,5236,13630,17089,17130,GNQ
Eritrea,997,7873,10189,10189,ERI
Estonia,31031,226809,594217,605758,EST
Eswatini,8365,64381,74021,75189,SWZ
Ethiopia,122413,395750,497096,501117,ETH
Europe,22615686,84508328,242057677,251178528,XEU
Faeroe Islands,574,5150,34658,34658,FRO
Falkland Islands,29,81,1923,1923,FRO
Fiji,46,52944,68702,69047,FJI
Finland,38052,322835,1456149,1499712,FIN
France,2338258,8709926,37989547,38997490,FRA
French Guiana,12773,47229,97776,98041,GUF
French Polynesia,16550,46382,77910,78700,PYF
Gabon,9497,38870,48979,49051,GAB
Gambia,3792,10136,12586,12626,GMB
Georgia,221605,924368,1809179,1855289,GEO
Germany,1660178,7014043,37241936,38437756,DEU
Ghana,54681,141295,171038,171834,GHA
Greece,139692,1085087,5023163,5509136,FJI
Greenland,26,2141,11971,11971,FIN
Grenada,116,5956,19660,19693,FRA
Guadeloupe,8620,55795,199988,203235,GUF
Guam,7094,15260,49938,52187,PYF
Guatemala,135171,625029,1195644,1250304,GAB
Guernsey,297,6646,33794,35326,GMB
Guinea,13674,31130,38211,38572,GEO
Guinea-Bissau,2447,6466,8947,9614,DEU
Guyana,6289,39042,72004,73679,GHA
Haiti,9846,25974,33912,34501,HTI
Honduras,118659,379073,463685,472743,HND
Hungary,316060,1237330,2181419,2223779,HUN
Iceland,5743,24206,207213,209503,ISL
India,10187850,34786802,44677106,45008620,IND
Indonesia,713365,4261759,6716124,6819830,IDN
Iran,1194963,6182905,7560731,7625292,IRN
Iraq,590779,2092312,2465373,2465545,IRQ
Ireland,85176,696093,1689764,1727111,IRL
Isle of Man,377,13913,38008,38008,IMN
Israel,399105,1364768,4756704,4841772,ISR
Italy,2039182,5622431,25060503,26495903,ITA
Jamaica,12684,92355,152791,156573,JAM
Japan,217312,1731789,28266405,33803572,JPN
Jersey,2643,17472,65386,66391,JEY
Jordan,286356,1051421,1746997,1746997,JOR
Kazakhstan,197142,1069864,1492221,1502857,KAZ
Kenya,95843,281358,342470,344094,KEN
Kiribati,,,3430,5085,KIR
Kosovo,50362,161284,272205,274279,XKS
Kuwait,149449,414911,662918,666586,KWT
Kyrgyzstan,,68891,88455,88931,KGZ
Laos,41,106231,217642,218903,LAO
Latvia,36330,271429,970519,977068,LVA
Lebanon,169472,711259,1222126,1239904,LBN
Lesotho,2577,28182,34490,36132,LSO
Liberia,1821,6228,8050,7930,LBR
Libya,97653,384663,507121,507269,LBY
Liechtenstein,2088,6059,21281,21557,LIE
Lithuania,134219,516006,1286222,1359230,LTU
Luxembourg,38383,95888,364867,388257,LUX
Madagascar,17714,50279,67735,68436,MDG
Malawi,6343,70682,88160,89168,MWI
Malaysia,103900,2741179,5023306,5160116,MYS
Maldives,13644,94864,185678,186694,MDV
Mali,6574,20011,32768,33162,MLI
Malta,12616,47436,116237,120807,MLT
Marshall Islands,4,4,15544,16138,MHL
Martinique,6072,47828,227390,230354,MTQ
Mauritania,13516,40453,63428,63768,MRT
