,location,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,iso_code
0,Afghanistan,0,0,8200,54000,240000,600152,886854,1171064,1979652,2369625,2369625,4018197,4674518,5125146,5535254,5751015,5986139,6118557,6445359,8040605,11562525,11881035,12055358,12275911,12449870,12684950,15093798,16499153,16902291,18434710,20393575,20729987,21120112,21716120,22085051,22606931,22606931,AFG
1,Albania,0,549,10135,138846,476903,776461,968034,1198933,1472316,1741373,1901824,2101039,2316606,2523683,2702638,2766890,2801345,2873654,2906126,2940709,2956198,2978248,2996383,3017443,3025728,3047340,3058102,3070468,3075848,3080679,3080679,3087677,3087677,3088966,3088966,3088966,3088966,ALB
2,Algeria,0,30,75000,75000,75000,75000,75000,75000,4146091,10049978,11179354,12293060,12545356,12974545,13631683,13704895,13772044,15205854,15205854,15205854,15205854,15267442,15267442,15267442,15267442,15267442,15267442,15267442,15267442,15267442,15267442,15267442,15267442,15267442,15267442,15267442,15267442,DZA
3,Andorra,0,576,2526,9288,28503,35916,68329,82349,95918,102032,104534,104534,117246,140193,151284,152187,152463,153072,153383,153531,154077,154216,154320,154367,156242,156766,156957,156957,157038,157059,157059,157059,157062,157072,157072,157072,157072,AND
4,Angola,0,0,0,130750,456349,909215,1488292,1592537,1841568,3134137,6164219,9026310,11615144,14588435,16259606,17535411,17896626,18956333,20397115,21323036,22226535,22297104,22990789,23335624,23701049,23893345,24502287,24867841,25316586,25552936,25962530,26521660,26953525,27309449,27639026,27722924,27722924,AGO
5,Anguilla,0,0,3929,5348,6898,14443,15789,18193,18458,18584,18705,19730,20284,21449,22165,22714,23126,23601,23926,24060,24102,24408,24434,24434,24441,24474,24489,24604,24604,24604,24604,24604,24604,24604,24604,24604,24604,AIA
6,Antigua and Barbuda,0,0,0,26836,29754,50329,63995,68850,75069,93318,106387,117637,121146,123555,124726,125605,125605,125877,126122,126122,128267,136512,136512,136512,136512,136512,136512,136512,136512,136512,136512,136512,136512,136512,136512,136512,136512,ATG
7,Argentina,43403,389946,1274995,4278846,8341744,13022011,21862314,33149392,44095489,53109748,61616594,70040101,78305396,88946635,94426258,97345660,99415820,103620075,106484143,108246645,109296898,109844557,110134064,110767407,112935968,114504882,115038979,115326501,115576258,115773472,115905192,116015761,116131155,116347753,116541045,116634595,116694921,ARG
8,Armenia,0,0,0,565,565,33529,74714,152529,275138,408535,831856,1236264,1626738,1883413,2042616,2107032,2149195,2150112,2150112,2150112,2150112,2150112,2150112,2150112,2150112,2150112,2150112,2153341,2154067,2156999,2158796,2158796,2158796,2163656,2256919,2256919,2256919,ARM
9,Aruba,0,0,0,25766,76865,114154,127256,138509,148225,156179,159406,161643,163759,166440,167820,169341,170323,171159,172014,172668,173120,173442,173754,173984,174138,174293,174407,174566,174666,174742,174776,174798,174810,174818,174830,174884,174898,ABW
